0	39
249999	39
250000	74
499999	74
500000	108
749999	108
750000	132
999999	132
1000000	55
1249999	55
1250000	126
1499999	126
1500000	32
1749999	32
1750000	40
1999999	40
2000000	41
2249999	41
2250000	105
2499999	105
2500000	52
2749999	52
2750000	103
2999999	103
3000000	284
3249999	284
3250000	130
3499999	130
3500000	42
3749999	42
3750000	136
3999999	136
4000000	253
4249999	253
4250000	36
4499999	36
4500000	85
4749999	85
4750000	80
4999999	80
5000000	28
5249999	28
5250000	3
5499999	3
5500000	1
5749999	1
5750000	2
5999999	2
6000000	1
6249999	1
6250000	2
6499999	2
6500000	11
6749999	11
6750000	1
6999999	1
7000000	3
7249999	3
7250000	2
7499999	2
7500000	5
7749999	5
7750000	1
7999999	1
8250000	1
8499999	1
8500000	1
8749999	1
8750000	4
8999999	4
9000000	1
9249999	1
9250000	23
9499999	23
9500000	11
9749999	11
9750000	10
9999999	10
10000000	3
10249999	3
10250000	2
10499999	2
10750000	7
10999999	7
11000000	4
11249999	4
11250000	2
11499999	2
11500000	9
11749999	9
11750000	5
11999999	5
12000000	11
12249999	11
12250000	18
12499999	18
12500000	13
12749999	13
12750000	31
12999999	31
13000000	9
13249999	9
13250000	101
13499999	101
13500000	11
13749999	11
13750000	7
13999999	7
14000000	32
14249999	32
14250000	46
14499999	46
14500000	73
14749999	73
14750000	108
14999999	108
15000000	17
15249999	17
15250000	88
15499999	88
15500000	90
15749999	90
15750000	117
15999999	117
16000000	58
16249999	58
16250000	18
16499999	18
16500000	15
16749999	15
16750000	9
16999999	9
17000000	12
17249999	12
17250000	17
17499999	17
17500000	14
17749999	14
17750000	16
17999999	16
18000000	8
18249999	8
18250000	1
18499999	1
18500000	2
18749999	2
18750000	14
18999999	14
19000000	5
19249999	5
19250000	33
19499999	33
19500000	61
19749999	61
19750000	63
19999999	63
20000000	39
20249999	39
20250000	24
20499999	24
20500000	25
20749999	25
20750000	45
20999999	45
21000000	75
21249999	75
21250000	55
21499999	55
21500000	45
21749999	45
21750000	131
21999999	131
22000000	120
22249999	120
22250000	127
22499999	127
22500000	119
22749999	119
22750000	67
22999999	67
23000000	52
23249999	52
23250000	49
23499999	49
23500000	23
23749999	23
23750000	70
23999999	70
24000000	14
24249999	14
24250000	25
24499999	25
24500000	13
24749999	13
24750000	21
24999999	21
25000000	29
25249999	29
25250000	15
25499999	15
25500000	53
25749999	53
25750000	42
25999999	42
26000000	45
26249999	45
26250000	39
26499999	39
26500000	67
26749999	67
26750000	47
26999999	47
27000000	33
27249999	33
27250000	29
27499999	29
27500000	32
27749999	32
27750000	37
27999999	37
28000000	48
28249999	48
28250000	75
28499999	75
28500000	27
28749999	27
28750000	42
28999999	42
29000000	40
29249999	40
29250000	167
29499999	167
29500000	74
29749999	74
29750000	92
29999999	92
30000000	60
30249999	60
30250000	155
30499999	155
30500000	146
30749999	146
30750000	67
30999999	67
31000000	58
31249999	58
31250000	63
31499999	63
31500000	46
31749999	46
31750000	48
31999999	48
32000000	62
32249999	62
32250000	72
32499999	72
32500000	57
32749999	57
32750000	17
32999999	17
33000000	14
33249999	14
33250000	8
33499999	8
33500000	49
33749999	49
33750000	54
33999999	54
34000000	42
34249999	42
34250000	66
34499999	66
34500000	86
34749999	86
34750000	119
34999999	119
35000000	135
35249999	135
35250000	49
35499999	49
35500000	33
35749999	33
35750000	57
35999999	57
36000000	19
36249999	19
36250000	41
36499999	41
36500000	57
36749999	57
36750000	47
36999999	47
37000000	25
37249999	25
37250000	3
37499999	3
37750000	30
37999999	30
38000000	113
38249999	113
38250000	127
38499999	127
38500000	83
38749999	83
38750000	107
38999999	107
39000000	69
39249999	69
39250000	67
39499999	67
39500000	15
39749999	15
39750000	4
39999999	4
40000000	93
40249999	93
40250000	84
40499999	84
40500000	118
40749999	118
40750000	142
40999999	142
41000000	277
41249999	277
41250000	230
41499999	230
41500000	55
41749999	55
41750000	52
41999999	52
42000000	27
42249999	27
42500000	312
42749999	312
42750000	206
42999999	206
43000000	153
43249999	153
43250000	1
43499999	1
43500000	51
43749999	51
43750000	32
43999999	32
44000000	68
44249999	68
44250000	173
44499999	173
44500000	186
44749999	186
44750000	198
44999999	198
45000000	194
45249999	194
45250000	97
45499999	97
45500000	166
45749999	166
45750000	85
45999999	85
46000000	48
46249999	48
46250000	38
46499999	38
46500000	21
46749999	21
46750000	34
46999999	34
47000000	53
47249999	53
47250000	65
47499999	65
47500000	101
47749999	101
47750000	45
47999999	45
48000000	4
48249999	4
48250000	8
48499999	8
48500000	5
48749999	5
48750000	19
48999999	19
49000000	24
49249999	24
49250000	50
49499999	50
49500000	87
49749999	87
49750000	34
49999999	34
